source_url,saved_filename,bytes,content_type
"https://products.rubezh.ru/download/file/041faa63-4633-11ee-adb1-48df3776c5b8/","Deklaratsiya_TR_TS_020-2011.pdf",854405,"application/pdf"
"https://products.rubezh.ru/download/file/0965cbb3-277e-11f1-95f2-d4f5ef944508/","STR-RM-A01-K_PS_red._7.pdf",1760843,"application/pdf"
"https://products.rubezh.ru/download/file/1304e1c4-c1bf-11ee-adb4-48df3776c5b8/","ST-1_IP_TsPIU_26.01.2024.pdf",826447,"application/pdf"
"https://products.rubezh.ru/download/file/13830abb-c792-11ec-80dd-48df3707765d/","DS_RA03.V.29032.22_.pdf",526146,"application/pdf"
"https://products.rubezh.ru/download/file/1fcbcea2-c65f-11ee-adb4-48df3776c5b8/","24._Vypiska_iz_reestra_5917-24-2023_STR20-IP-Ent.pdf",43712,"application/pdf"
"https://products.rubezh.ru/download/file/28f11d29-c507-11ef-adb8-48df3776c5b8/","str_1ap_new.dwg",315705,"application/octet-stream"
"https://products.rubezh.ru/download/file/3938aa67-ce4e-11ef-adb8-48df3776c5b8/","Sertifikat_transportnoy_bezopasnosti_R-Okhrana.pdf",2274228,"application/pdf"
"https://products.rubezh.ru/download/file/3eee05bb-277e-11f1-95f2-d4f5ef944508/","STR-RM-S01_PS_red._7.pdf",1750498,"application/pdf"
"https://products.rubezh.ru/download/file/4329ba0b-c507-11ef-adb8-48df3776c5b8/","str_1ap_m.dwg",231650,"application/octet-stream"
"https://products.rubezh.ru/download/file/4a3afdf0-284d-11f1-95f2-d4f5ef944508/","STR-2AP-M_STR-3AP-M_PASN.425728.010-01_PS_red._2.pdf",2225799,"application/pdf"
"https://products.rubezh.ru/download/file/5901f55f-c507-11ef-adb8-48df3776c5b8/","str20_1ap_ip_m.dwg",259455,"application/octet-stream"
"https://products.rubezh.ru/download/file/5f85c135-c7a8-11ed-adb0-48df3776c5b8/","Deklaratsiya_TR_TS_004-2011_020-2011.pdf",430687,"application/pdf"
"https://products.rubezh.ru/download/file/660c30a4-277e-11f1-95f2-d4f5ef944508/","STR-RM-B01_PS_red._7.pdf",1773143,"application/pdf"
"https://products.rubezh.ru/download/file/6b4212dd-c507-11ef-adb8-48df3776c5b8/","str20_2ap_ip_m.dwg",239842,"application/octet-stream"
"https://products.rubezh.ru/download/file/7a5edf88-c507-11ef-adb8-48df3776c5b8/","str20_ip.dwg",154496,"application/octet-stream"
"https://products.rubezh.ru/download/file/7fa95993-f8e1-11ef-95ed-d4f5ef944508/","STR20-IP_STR20-IP-Ent_PASN.425728.007_PS_red._11.pdf",1623257,"application/pdf"
"https://products.rubezh.ru/download/file/84f71c34-a3ed-11ee-adb2-48df3776c5b8/","RUKOVODSTVO_3V_RUBEZH_STRAZH_Model_A_Ra_-_26_Dekabr_2023.pdf",11779716,"application/pdf"
"https://products.rubezh.ru/download/file/8a30d68f-c507-11ef-adb8-48df3776c5b8/","str20_ir_ent.dwg",157244,"application/octet-stream"
"https://products.rubezh.ru/download/file/8a336a57-284d-11f1-95f2-d4f5ef944508/","STR-1AP-M_PASN.425728.010_PS_red._14.pdf",1798875,"application/pdf"
"https://products.rubezh.ru/download/file/8acac327-e4f0-11ee-95eb-d4f5ef944508/","PASPORT_3V_RUBEZH_STRAZH_2024_-_turnikety_A_L_R_V_T_Y.pdf",2147339,"application/pdf"
"https://products.rubezh.ru/download/file/8e486ffe-c64f-11ee-adb4-48df3776c5b8/","Zaklyuchenie_719_10242-11_TsPIU_IP.pdf",287162,"application/pdf"
"https://products.rubezh.ru/download/file/968d2f4f-277e-11f1-95f2-d4f5ef944508/","STR-RMO-H01_PS_red._3.pdf",1878082,"application/pdf"
"https://products.rubezh.ru/download/file/99e81447-a3ed-11ee-adb2-48df3776c5b8/","RUKOVODSTVO_3V_RUBEZH_STRAZH_Model_L_R_V_-_26_Dekabr_2023.pdf",17243912,"application/pdf"
"https://products.rubezh.ru/download/file/9bd013a8-28da-11f1-95f2-d4f5ef944508/","STR20-1AP-IP-M_STR20-2AP-IP-M_PASN.425728.009_PS_red._16.pdf",1952677,"application/pdf"
"https://products.rubezh.ru/download/file/a30b0768-c507-11ef-adb8-48df3776c5b8/","str_2ap_m.dwg",230817,"application/octet-stream"
"https://products.rubezh.ru/download/file/af06e5ee-c507-11ef-adb8-48df3776c5b8/","str_3ap_m.dwg",230562,"application/octet-stream"
"https://products.rubezh.ru/download/file/afddbe58-a3ed-11ee-adb2-48df3776c5b8/","RUKOVODSTVO_3V_RUBEZH_STRAZH_Model_T_Ts_-_26_Dekabr_2023.pdf",15815686,"application/pdf"
"https://products.rubezh.ru/download/file/b1098fe9-f7e2-11ee-95eb-d4f5ef944508/","STR-1AP_PASN.425728.008_PS_red._13.pdf",1662684,"application/pdf"
"https://products.rubezh.ru/download/file/b79a6905-ce4b-11ef-adb8-48df3776c5b8/","Sertifikat_transportnoy_bezopasnosti_R-Dostup.pdf",2224098,"application/pdf"
"https://products.rubezh.ru/download/file/b9109127-c507-11ef-adb8-48df3776c5b8/","Turnikety.dwg",175027,"application/octet-stream"
"https://products.rubezh.ru/download/file/b9bb5f48-7032-11ef-adb6-48df3776c5b8/","Sertifikat_transportnoy_bezopasnosti_STRAZH.pdf",21546395,"application/pdf"
"https://products.rubezh.ru/download/file/c374807b-6aba-11ef-adb6-48df3776c5b8/","STR_ALM_300P_OSDP_new.dwg",165026,"application/octet-stream"
"https://products.rubezh.ru/download/file/cc5c5b02-a3ed-11ee-adb2-48df3776c5b8/","RUKOVODSTVO_3V_RUBEZH_STRAZH_Model_X_Xi_i_UKhL_-_26_Dekabr_2023.pdf",16588435,"application/pdf"
"https://products.rubezh.ru/download/file/d1ea7399-6aba-11ef-adb6-48df3776c5b8/","STR_RMO_H01_new.dwg",118476,"application/octet-stream"
"https://products.rubezh.ru/download/file/d3dbcd08-6662-11ed-a317-e43d1a190cf9/","Deklaratsiya.pdf",559411,"application/pdf"
"https://products.rubezh.ru/download/file/de4b6063-277d-11f1-95f2-d4f5ef944508/","STR-RM-A01_PS_red._7.pdf",1789691,"application/pdf"
"https://products.rubezh.ru/download/file/e43fe9a6-a3ed-11ee-adb2-48df3776c5b8/","RUKOVODSTVO_3V_RUBEZH_STRAZH_Model_Y_-_26_Dekabr_2023.pdf",16572714,"application/pdf"
"https://products.rubezh.ru/download/file/e5df59de-f6bc-11f0-95f2-d4f5ef944508/","PASN.425728.007.red.11.v_1.6.pdf",15081974,"application/pdf"
"https://products.rubezh.ru/download/file/eeeea5a1-6959-11f1-898d-d4f5ef944508/","RUBEZH_PASSPORT_X_-_06.2026.pdf",8935952,"application/pdf"
"https://products.rubezh.ru/download/file/f5886946-9d2b-11f0-95f2-d4f5ef944508/","STR-ALM-300P_OSDP_12_red._4.pdf",2450840,"application/pdf"
"https://products.rubezh.ru/download/file/fc197b7f-8275-11f0-95f1-d4f5ef944508/","Deklaratsiya_TR_TS_020-2011_2.pdf",2003021,"application/pdf"
"https://products.rubezh.ru/upload/iblock/65b/z8tllkhscoxh349snkij49xgmx5ez94i/Kompaniya-RUBEZH.-INTELLEKTUALNYE-SISTEMY-BEZOPASNOSTI.pdf","Kompaniya-RUBEZH.-INTELLEKTUALNYE-SISTEMY-BEZOPASNOSTI.pdf",12873192,"application/pdf"
"https://products.rubezh.ru/upload/medialibrary/af3/4vxbjsir32fj4pwtlwj1rzf3b7il5bl4/cert_se17_rdy_13509.pdf","cert_se17_rdy_13509.pdf",399970,"application/pdf"
"https://products.rubezh.ru/upload/vote/544/62robwcmifq4vdw0p24rpc8y1t81swvj/FireSec-3.2.9.0.zip","FireSec-3.2.9.0.zip",270116411,"application/zip"
